Image Name,Match X (px),Match Y (px),Metadata X (um),Metadata Y (um),Metadata X (px),Metadata Y (px),Distance (px),Match Confidence,Template Method
EDX1--225_3.tiff,1260.0,414.0,-1137.27,1801.1100000000001,-3121964.8374772514,-6610486.566248207,7311534.7,0.886,TM_CCORR_NORMED
EDX1--225_5.tiff,1707.0,3500.0,-544.101,-2335.64,-1346139.7261208007,5774086.008184705,5925905.3,0.906,TM_CCORR_NORMED
EDX1--225_8.tiff,1740.0,3496.0,-499.287,-2336.97,-1211975.8933171176,5778067.7526759105,5900744.5,0.962,TM_CCORR_NORMED
EDX1--225_10.tiff,2175.0,266.0,79.54979999999999,1992.7,520941.5801469565,-7184067.338481385,7203038.5,0.911,TM_CCORR_NORMED
EDX1--225_14.tiff,360.0,1428.0,-2393.4199999999996,423.21500000000003,-6882617.7266714005,-2485354.3664661953,7318433.5,0.866,TM_CCORR_NORMED
EDX1--225_16.tiff,762.0,944.0,-1816.71,1074.3300000000002,-5156067.451841837,-4434657.798339498,6802018.3,0.956,TM_CCORR_NORMED
EDX1--225_20.tiff,2086.0,2631.0,-42.2108,-1173.46,156415.566390627,2294759.8331549256,2297318.5,0.927,TM_CCORR_NORMED
EDX1--225_23.tiff,2853.0,3737.0,645.6800000000001,1145.1000000000001,2215818.1253764774,-4646528.518371556,5149969.3,0.954,TM_CCORR_NORMED
EDX1--225_27.tiff,2712.0,953.0,783.741,1062.95,2629144.1601135973,-4400588.4357004585,5125593.9,0.959,TM_CCORR_NORMED
